times,voltages
269980,1
269990,0
270001,0
270012,0
270022,0
270032,0
270043,0
270053,0
270063,0
270073,1
270085,0
270095,0
270105,0
270115,0
270126,0
270136,0
270147,0
270157,0
270168,0
270178,0
270188,0
270198,0
270210,0
270220,0
270230,1
270240,0
270251,0
270261,1
270271,0
270282,0
270292,0
270303,0
270313,0
270323,0
270333,1
270345,0
270355,1
270365,0
270375,0
270386,0
270396,0
270406,0
270417,0
270428,0
270438,0
270448,0
270458,0
270469,0
270480,0
270490,0
270500,1
270511,1
270521,0
270531,0
270542,0
270553,0
270563,1
270573,0
270583,1
270594,0
270604,0
270615,0
270625,0
270636,0
270646,0
270656,0
270666,1
270678,0
270688,0
270698,1
270708,0
270718,0
270729,1
270739,0
270750,0
270760,0
270771,0
270781,0
270791,0
270801,0
270813,0
270823,0
270833,0
270843,0
270854,0
270864,0
270875,0
270885,0
270896,0
270906,0
270916,0
270926,0
270937,0
270948,0
270958,0
270968,1
270979,0
270989,0
270999,0
271010,0
271021,0
271031,0
271041,0
271051,0
271062,0
271072,1
271083,0
271093,0
271104,0
271114,1
271124,0
271134,0
271145,0
271156,1
271166,0
271176,0
271186,0
271197,1
271208,1
271218,0
271228,0
271239,0
271249,0
271259,0
271269,0
271281,1
271291,0
271301,1
271311,0
271322,1
271332,1
271343,0
271353,0
271364,0
271374,1
271384,0
271394,0
271405,0
271416,0
271426,0
271436,0
271447,0
271457,0
271467,0
271478,0
271489,0
271499,0
271509,0
271519,1
271529,0
271541,0
271551,1
271561,0
271571,0
271582,1
271592,0
271602,0
271613,0
271624,0
271634,1
271644,0
271654,0
271665,0
271676,0
271686,0
271696,1
271707,0
271717,0
271727,0
271737,0
271749,0
271759,0
271769,1
271779,0
271790,0
271800,1
271811,0
271821,0
271832,1
271842,0
271852,1
271862,0
271874,0
271884,0
271894,0
271904,1
271915,0
271925,0
271935,0
271946,0
271956,0
271967,0
271977,0
271987,0
271997,0
272009,0
272019,0
272029,0
272039,0
272050,1
272060,0
272070,0
272081,0
272092,1
272102,0
272112,0
272122,0
272133,0
272144,0
272154,0
272164,0
272175,0
272185,0
272195,0
272206,0
272217,0
272227,1
272237,0
272247,0
272258,0
272268,1
272279,1
272289,0
272300,0
272310,0
272320,0
272330,0
272342,0
272352,0
272362,0
272372,0
272382,0
272393,0
272403,1
272414,0
272424,0
272435,0
272445,0
272455,0
272465,0
272477,0
272487,0
272497,0
272507,1
272518,0
272528,0
272539,0
272549,0
272560,0
272570,0
272580,0
272590,0
272601,1
272612,0
272622,0
272632,0
272643,0
272653,0
272663,1
272674,0
272685,1
272695,0
272705,0
272715,0
272726,0
272736,1
272747,0
272757,0
272768,0
272778,0
272788,0
272798,0
272809,0
272820,0
272830,0
272840,0
272850,0
272861,0
272872,0
272882,1
272892,0
272903,0
272913,0
272923,0
272933,0
272945,0
272955,1
272965,0
272975,0
272986,0
272996,0
273007,0
273017,0
273028,0
273038,0
273048,0
273058,0
273069,1
273080,0
273090,0
273100,0
273111,0
273121,0
273131,0
273142,0
273153,1
273163,0
273173,0
273183,0
273193,0
273205,0
273215,0
273225,0
273235,1
273246,0
273256,0
273266,0
