,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760002123463756.0,254549388.0,13934.0
1,1760002123464011.0,254586684.0,13941.0
2,1760002123464209.0,254623980.0,13935.0
3,1760002123464392.0,254661272.0,13931.0
4,1760002123464578.0,254698564.0,13931.0
5,1760002123464759.0,254735860.0,13932.0
6,1760002123464970.0,254773152.0,13936.0
7,1760002123465164.0,254810452.0,13935.0
8,1760002123465345.0,254847748.0,13940.0
9,1760002123465526.0,254885044.0,13935.0
10,1760002123465726.0,254922336.0,13934.0
11,1760002123465922.0,254959640.0,13939.0
12,1760002123466128.0,254996936.0,13936.0
13,1760002123466309.0,255034228.0,13942.0
14,1760002123466495.0,255071524.0,13934.0
15,1760002123466689.0,255108816.0,13933.0
16,1760002123466867.0,255146112.0,13935.0
17,1760002123467043.0,255183404.0,13932.0
18,1760002123467235.0,255220700.0,13941.0
19,1760002123467418.0,255258000.0,13935.0
20,1760002123467593.0,255295292.0,13938.0
21,1760002123467768.0,255332588.0,13932.0
22,1760002123468000.0,255369888.0,13932.0
23,1760002123468190.0,255407180.0,13931.0
24,1760002123468374.0,255444480.0,13934.0
25,1760002123468552.0,255481780.0,13941.0
26,1760002123468792.0,255519076.0,13934.0
27,1760002123468973.0,255556368.0,13938.0
28,1760002123469154.0,255593664.0,13936.0
29,1760002123469379.0,255630956.0,13934.0
30,1760002123469570.0,255668260.0,13939.0
31,1760002123469748.0,255705548.0,13936.0
32,1760002123469924.0,255742844.0,13940.0
33,1760002123470100.0,255780144.0,13936.0
34,1760002123470280.0,255817440.0,13934.0
35,1760002123470459.0,255854732.0,13933.0
36,1760002123470667.0,255892032.0,13934.0
37,1760002123470845.0,255929324.0,13938.0
38,1760002123471022.0,255966620.0,13934.0
39,1760002123471203.0,256003916.0,13941.0
40,1760002123471389.0,256041208.0,13936.0
41,1760002123471566.0,256078500.0,13935.0
42,1760002123471783.0,256115792.0,13934.0
43,1760002123472007.0,256153084.0,13932.0
44,1760002123472188.0,256190376.0,13941.0
45,1760002123472363.0,256227676.0,13936.0
46,1760002123472616.0,256264968.0,13940.0
47,1760002123472802.0,256302260.0,13934.0
48,1760002123472983.0,256339556.0,13936.0
49,1760002123473202.0,256376860.0,13942.0
50,1760002123473378.0,256414148.0,13936.0
51,1760002123473550.0,256451440.0,13941.0
52,1760002123473727.0,256488728.0,13933.0
53,1760002123474010.0,256526024.0,13936.0
54,1760002123474184.0,256563316.0,13935.0
55,1760002123474359.0,256600612.0,13936.0
56,1760002123474533.0,256637904.0,13940.0
57,1760002123474708.0,256675192.0,13932.0
58,1760002123474886.0,256712484.0,13937.0
59,1760002123475059.0,256749780.0,13934.0
60,1760002123475232.0,256787076.0,13935.0
61,1760002123475404.0,256824376.0,13941.0
62,1760002123475577.0,256861668.0,13936.0
63,1760002123475753.0,256898964.0,13942.0
64,1760002123475927.0,256936252.0,13931.0
65,1760002123476105.0,256973544.0,13935.0
66,1760002123476280.0,257010840.0,13936.0
67,1760002123476453.0,257048136.0,13936.0
68,1760002123476629.0,257085436.0,13942.0
69,1760002123476801.0,257122728.0,13935.0
70,1760002123476973.0,257160024.0,13941.0
71,1760002123477146.0,257197320.0,13934.0
72,1760002123477318.0,257234616.0,13932.0
73,1760002123477492.0,257271908.0,13936.0
74,1760002123477665.0,257309204.0,13935.0
75,1760002123477836.0,257346504.0,13942.0
76,1760002123478009.0,257383796.0,13935.0
77,1760002123478187.0,257421092.0,13940.0
78,1760002123478367.0,257458384.0,13934.0
79,1760002123478549.0,257495676.0,13932.0
80,1760002123478732.0,257532976.0,13940.0
81,1760002123478915.0,257570264.0,13936.0
82,1760002123479095.0,257607556.0,13940.0
83,1760002123479317.0,257644852.0,13934.0
84,1760002123479635.0,257682144.0,13935.0
85,1760002123479900.0,257719440.0,13934.0
86,1760002123480087.0,257756736.0,13936.0
87,1760002123480406.0,257794028.0,13939.0
88,1760002123480598.0,257831324.0,13933.0
89,1760002123480776.0,257868624.0,13942.0
90,1760002123480951.0,257905920.0,13934.0
91,1760002123481125.0,257943212.0,13934.0
92,1760002123481305.0,257980504.0,13934.0
93,1760002123481489.0,258017800.0,13935.0
94,1760002123481675.0,258055100.0,13938.0
95,1760002123481861.0,258092392.0,13934.0
96,1760002123482056.0,258129684.0,13940.0
97,1760002123482253.0,258166980.0,13933.0
98,1760002123482441.0,258204276.0,13935.0
99,1760002123482630.0,258241572.0,13938.0
100,1760002123482817.0,258278860.0,13935.0
101,1760002123483009.0,258316156.0,13941.0
102,1760002123483197.0,258353452.0,13934.0
103,1760002123483380.0,258390744.0,13933.0
104,1760002123483560.0,258428040.0,13935.0
105,1760002123483738.0,258465336.0,13935.0
106,1760002123483921.0,258502624.0,13940.0
107,1760002123484108.0,258539916.0,13932.0
108,1760002123484389.0,258577212.0,13941.0
109,1760002123484763.0,258614504.0,13935.0
110,1760002123485020.0,258651792.0,13933.0
111,1760002123485205.0,258689088.0,13934.0
112,1760002123485386.0,258726376.0,13936.0
113,1760002123485559.0,258763676.0,13943.0
114,1760002123485732.0,258800972.0,13934.0
115,1760002123485904.0,258838268.0,13936.0
116,1760002123486077.0,258875560.0,13932.0
117,1760002123486253.0,258912856.0,13932.0
118,1760002123486425.0,258950156.0,13943.0
119,1760002123486597.0,258987444.0,13934.0
120,1760002123486769.0,259024740.0,13940.0
121,1760002123486942.0,259062036.0,13934.0
122,1760002123487118.0,259099332.0,13934.0
123,1760002123487290.0,259136624.0,13934.0
124,1760002123487462.0,259173912.0,13932.0
125,1760002123487635.0,259211216.0,13940.0
126,1760002123487807.0,259248508.0,13934.0
127,1760002123487983.0,259285796.0,13940.0
128,1760002123488156.0,259323092.0,13934.0
129,1760002123488332.0,259360384.0,13933.0
130,1760002123488505.0,259397684.0,13941.0
131,1760002123488680.0,259434976.0,13933.0
132,1760002123488856.0,259472272.0,13942.0
133,1760002123489029.0,259509568.0,13934.0
134,1760002123489201.0,259546864.0,13934.0
135,1760002123489374.0,259584160.0,13931.0
136,1760002123489547.0,259621456.0,13936.0
137,1760002123489724.0,259658748.0,13941.0
138,1760002123489898.0,259696048.0,13936.0
139,1760002123490071.0,259733340.0,13941.0
140,1760002123490245.0,259770636.0,13935.0
141,1760002123490480.0,259807932.0,13934.0
142,1760002123490688.0,259845224.0,13933.0
143,1760002123490866.0,259882520.0,13933.0
144,1760002123491041.0,259919820.0,13939.0
145,1760002123491214.0,259957116.0,13936.0
146,1760002123491388.0,259994412.0,13941.0
147,1760002123491565.0,260031712.0,13936.0
148,1760002123491739.0,260069008.0,13934.0
149,1760002123491914.0,260106304.0,13933.0
150,1760002123492088.0,260143596.0,13934.0
151,1760002123492262.0,260180892.0,13939.0
152,1760002123492439.0,260218184.0,13935.0
153,1760002123492611.0,260255480.0,13936.0
154,1760002123492785.0,260292776.0,13936.0
155,1760002123492962.0,260330076.0,13937.0
156,1760002123493136.0,260367380.0,13941.0
157,1760002123493312.0,260404668.0,13933.0
158,1760002123493485.0,260441964.0,13941.0
159,1760002123493656.0,260479256.0,13932.0
160,1760002123493828.0,260516556.0,13936.0
161,1760002123493999.0,260553852.0,13934.0
162,1760002123494174.0,260591148.0,13937.0
163,1760002123494345.0,260628444.0,13939.0
164,1760002123494517.0,260665740.0,13935.0
165,1760002123494691.0,260703032.0,13940.0
166,1760002123494863.0,260740332.0,13935.0
167,1760002123495038.0,260777628.0,13936.0
168,1760002123495211.0,260814924.0,13935.0
169,1760002123495384.0,260852220.0,13936.0
170,1760002123495559.0,260889512.0,13940.0
171,1760002123495742.0,260926812.0,13935.0
172,1760002123495924.0,260964108.0,13941.0
173,1760002123496106.0,261001404.0,13935.0
174,1760002123496281.0,261038700.0,13935.0
175,1760002123496458.0,261076000.0,13939.0
176,1760002123496662.0,261113292.0,13934.0
177,1760002123496927.0,261150588.0,13940.0
178,1760002123497177.0,261187884.0,13935.0
179,1760002123497406.0,261225176.0,13933.0
180,1760002123497648.0,261262472.0,13932.0
181,1760002123497899.0,261299772.0,13935.0
182,1760002123498083.0,261337064.0,13940.0
183,1760002123498260.0,261374360.0,13934.0
184,1760002123498436.0,261411652.0,13937.0
185,1760002123498655.0,261448948.0,13935.0
186,1760002123498851.0,261486240.0,13932.0
187,1760002123499031.0,261523536.0,13936.0
188,1760002123499224.0,261560832.0,13934.0
189,1760002123499398.0,261598136.0,13941.0
190,1760002123499573.0,261635428.0,13933.0
191,1760002123499749.0,261672720.0,13940.0
192,1760002123499923.0,261710012.0,13933.0
193,1760002123500097.0,261747308.0,13934.0
194,1760002123500271.0,261784608.0,13940.0
195,1760002123500446.0,261821892.0,13932.0
196,1760002123500624.0,261859184.0,13940.0
197,1760002123500799.0,261896480.0,13933.0
198,1760002123500972.0,261933772.0,13935.0
199,1760002123501146.0,261971068.0,13935.0
200,1760002123501322.0,262008360.0,13933.0
201,1760002123501499.0,262045680.0,13964.0
