,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760002192119418.0,345682680.0,13935.0
1,1760002192119624.0,345719980.0,13936.0
2,1760002192119810.0,345757272.0,13934.0
3,1760002192120076.0,345794572.0,13941.0
4,1760002192120288.0,345831864.0,13936.0
5,1760002192120475.0,345869156.0,13939.0
6,1760002192120658.0,345906448.0,13936.0
7,1760002192120841.0,345943744.0,13935.0
8,1760002192121026.0,345981064.0,13959.0
9,1760002192121220.0,346018360.0,13932.0
10,1760002192121409.0,346055656.0,13942.0
11,1760002192121596.0,346092948.0,13934.0
12,1760002192121783.0,346130244.0,13942.0
13,1760002192121971.0,346167532.0,13933.0
14,1760002192122173.0,346204828.0,13934.0
15,1760002192122351.0,346242120.0,13932.0
16,1760002192122562.0,346279412.0,13935.0
17,1760002192122752.0,346316712.0,13942.0
18,1760002192122935.0,346354008.0,13936.0
19,1760002192123130.0,346391304.0,13937.0
20,1760002192123312.0,346428592.0,13933.0
21,1760002192123493.0,346465888.0,13935.0
22,1760002192123674.0,346503192.0,13939.0
23,1760002192123850.0,346540484.0,13936.0
24,1760002192124035.0,346577776.0,13939.0
25,1760002192124220.0,346615068.0,13935.0
26,1760002192124402.0,346652364.0,13935.0
27,1760002192124583.0,346689656.0,13934.0
28,1760002192124768.0,346726948.0,13935.0
29,1760002192124958.0,346764236.0,13939.0
30,1760002192125136.0,346801532.0,13935.0
31,1760002192125312.0,346838832.0,13942.0
32,1760002192125487.0,346876128.0,13936.0
33,1760002192125664.0,346913424.0,13936.0
34,1760002192125844.0,346950720.0,13934.0
35,1760002192126020.0,346988016.0,13933.0
36,1760002192126203.0,347025312.0,13938.0
37,1760002192126402.0,347062612.0,13937.0
38,1760002192126675.0,347099904.0,13939.0
39,1760002192126886.0,347137200.0,13936.0
40,1760002192127069.0,347174492.0,13934.0
41,1760002192127248.0,347211792.0,13941.0
42,1760002192127432.0,347249084.0,13934.0
43,1760002192127615.0,347286380.0,13938.0
44,1760002192127793.0,347323676.0,13934.0
45,1760002192127970.0,347360972.0,13934.0
46,1760002192128145.0,347398260.0,13934.0
47,1760002192128318.0,347435552.0,13933.0
48,1760002192128530.0,347472848.0,13941.0
49,1760002192128816.0,347510148.0,13938.0
50,1760002192129057.0,347547444.0,13940.0
51,1760002192129254.0,347584740.0,13935.0
52,1760002192129445.0,347622036.0,13936.0
53,1760002192129633.0,347659332.0,13935.0
54,1760002192129818.0,347696628.0,13933.0
55,1760002192130000.0,347733928.0,13942.0
56,1760002192130249.0,347771224.0,13936.0
57,1760002192130655.0,347808520.0,13940.0
58,1760002192130850.0,347845812.0,13934.0
59,1760002192131029.0,347883108.0,13936.0
60,1760002192131209.0,347920408.0,13941.0
61,1760002192131387.0,347957700.0,13936.0
62,1760002192131566.0,347995000.0,13944.0
63,1760002192131750.0,348032296.0,13935.0
64,1760002192131925.0,348069588.0,13935.0
65,1760002192132106.0,348106884.0,13937.0
66,1760002192132295.0,348144180.0,13936.0
67,1760002192132590.0,348181476.0,13942.0
68,1760002192132795.0,348218772.0,13936.0
69,1760002192132977.0,348256068.0,13942.0
70,1760002192133161.0,348293360.0,13937.0
71,1760002192133340.0,348330656.0,13937.0
72,1760002192133525.0,348367952.0,13934.0
73,1760002192133710.0,348405248.0,13938.0
74,1760002192133891.0,348442552.0,13942.0
75,1760002192134069.0,348479852.0,13937.0
76,1760002192134249.0,348517152.0,13943.0
77,1760002192134480.0,348554448.0,13935.0
78,1760002192134667.0,348591744.0,13936.0
79,1760002192134843.0,348629048.0,13942.0
80,1760002192135018.0,348666336.0,13935.0
81,1760002192135193.0,348703632.0,13941.0
82,1760002192135373.0,348740924.0,13935.0
83,1760002192135547.0,348778216.0,13934.0
84,1760002192135721.0,348815512.0,13937.0
85,1760002192135895.0,348852812.0,13937.0
86,1760002192136068.0,348890116.0,13944.0
87,1760002192136245.0,348927404.0,13937.0
88,1760002192136418.0,348964708.0,13944.0
89,1760002192136590.0,349002004.0,13934.0
90,1760002192136762.0,349039296.0,13934.0
91,1760002192136935.0,349076616.0,13960.0
92,1760002192137109.0,349113912.0,13934.0
93,1760002192137287.0,349151208.0,13940.0
94,1760002192137459.0,349188504.0,13935.0
95,1760002192137631.0,349225800.0,13944.0
96,1760002192137804.0,349263096.0,13934.0
97,1760002192137980.0,349300392.0,13935.0
98,1760002192138154.0,349337688.0,13935.0
99,1760002192138327.0,349374984.0,13934.0
100,1760002192138499.0,349412288.0,13940.0
101,1760002192138671.0,349449584.0,13939.0
102,1760002192138846.0,349486884.0,13944.0
103,1760002192139019.0,349524180.0,13936.0
104,1760002192139192.0,349561476.0,13935.0
105,1760002192139365.0,349598784.0,13944.0
106,1760002192139538.0,349636104.0,13961.0
107,1760002192139713.0,349673404.0,13941.0
108,1760002192139886.0,349710700.0,13934.0
109,1760002192140063.0,349747996.0,13941.0
110,1760002192140235.0,349785296.0,13937.0
111,1760002192140412.0,349822596.0,13938.0
112,1760002192140587.0,349859900.0,13944.0
113,1760002192140760.0,349897188.0,13936.0
114,1760002192140932.0,349934484.0,13943.0
115,1760002192141105.0,349971780.0,13936.0
116,1760002192141276.0,350009080.0,13937.0
117,1760002192141450.0,350046372.0,13936.0
118,1760002192141623.0,350083668.0,13935.0
119,1760002192141795.0,350120972.0,13941.0
120,1760002192141968.0,350158264.0,13938.0
121,1760002192142143.0,350195564.0,13945.0
122,1760002192142316.0,350232860.0,13936.0
123,1760002192142488.0,350270156.0,13935.0
124,1760002192142661.0,350307456.0,13936.0
125,1760002192142833.0,350344756.0,13936.0
126,1760002192143012.0,350382056.0,13942.0
127,1760002192143185.0,350419352.0,13935.0
128,1760002192143356.0,350456648.0,13941.0
129,1760002192143533.0,350493948.0,13939.0
130,1760002192143706.0,350531244.0,13936.0
131,1760002192143881.0,350568540.0,13935.0
132,1760002192144054.0,350605840.0,13936.0
133,1760002192144227.0,350643140.0,13940.0
134,1760002192144400.0,350680440.0,13937.0
135,1760002192144574.0,350717740.0,13944.0
136,1760002192144755.0,350755036.0,13936.0
137,1760002192144929.0,350792332.0,13938.0
138,1760002192145101.0,350829632.0,13939.0
139,1760002192145274.0,350866932.0,13939.0
140,1760002192145453.0,350904228.0,13941.0
141,1760002192145627.0,350941520.0,13934.0
142,1760002192145800.0,350978816.0,13939.0
143,1760002192145975.0,351016112.0,13935.0
144,1760002192146154.0,351053408.0,13934.0
145,1760002192146344.0,351090712.0,13941.0
146,1760002192146534.0,351128004.0,13939.0
147,1760002192146868.0,351165300.0,13942.0
148,1760002192147189.0,351202600.0,13938.0
149,1760002192147391.0,351239900.0,13938.0
150,1760002192147586.0,351277192.0,13934.0
151,1760002192147773.0,351314488.0,13935.0
152,1760002192148000.0,351351784.0,13941.0
153,1760002192148250.0,351389084.0,13936.0
154,1760002192148495.0,351426380.0,13940.0
155,1760002192148716.0,351463676.0,13937.0
156,1760002192148951.0,351500976.0,13937.0
157,1760002192149183.0,351538268.0,13935.0
158,1760002192149374.0,351575564.0,13935.0
159,1760002192149560.0,351612864.0,13939.0
160,1760002192149781.0,351650164.0,13936.0
161,1760002192149959.0,351687456.0,13940.0
162,1760002192150185.0,351724752.0,13934.0
163,1760002192150410.0,351762048.0,13934.0
164,1760002192150652.0,351799352.0,13943.0
165,1760002192150844.0,351836644.0,13935.0
166,1760002192151051.0,351873948.0,13942.0
167,1760002192151233.0,351911244.0,13936.0
168,1760002192151413.0,351948544.0,13940.0
169,1760002192151589.0,351985844.0,13935.0
170,1760002192151765.0,352023144.0,13935.0
171,1760002192151940.0,352060448.0,13944.0
172,1760002192152116.0,352097740.0,13937.0
173,1760002192152296.0,352135036.0,13941.0
174,1760002192152474.0,352172332.0,13935.0
175,1760002192152650.0,352209632.0,13939.0
176,1760002192152825.0,352246928.0,13935.0
177,1760002192153002.0,352284224.0,13934.0
178,1760002192153178.0,352321520.0,13942.0
179,1760002192153361.0,352358816.0,13936.0
180,1760002192153542.0,352396112.0,13941.0
181,1760002192153728.0,352433408.0,13934.0
182,1760002192153911.0,352470704.0,13937.0
183,1760002192154094.0,352508000.0,13935.0
184,1760002192154338.0,352545296.0,13938.0
185,1760002192154531.0,352582600.0,13941.0
186,1760002192154711.0,352619896.0,13937.0
187,1760002192154892.0,352657192.0,13941.0
188,1760002192155072.0,352694484.0,13934.0
189,1760002192155259.0,352731784.0,13939.0
190,1760002192155439.0,352769088.0,13940.0
191,1760002192155618.0,352806380.0,13934.0
192,1760002192155846.0,352843676.0,13940.0
193,1760002192156030.0,352880972.0,13936.0
194,1760002192156214.0,352918264.0,13935.0
195,1760002192156470.0,352955560.0,13936.0
196,1760002192156657.0,352992856.0,13934.0
197,1760002192156835.0,353030160.0,13945.0
198,1760002192157011.0,353067452.0,13934.0
199,1760002192157190.0,353104748.0,13940.0
200,1760002192157362.0,353142044.0,13936.0
201,1760002192157540.0,353179344.0,13938.0
202,1760002192157714.0,353216640.0,13935.0
203,1760002192157889.0,353253940.0,13937.0
204,1760002192158063.0,353291240.0,13943.0
205,1760002192158237.0,353328536.0,13935.0
206,1760002192158410.0,353365832.0,13944.0
207,1760002192158584.0,353403128.0,13936.0
208,1760002192158761.0,353440404.0,13913.0
209,1760002192158934.0,353477700.0,13937.0
210,1760002192159109.0,353515000.0,13936.0
211,1760002192159283.0,353552300.0,13942.0
212,1760002192159455.0,353589596.0,13936.0
213,1760002192159632.0,353626892.0,13940.0
214,1760002192159805.0,353664184.0,13937.0
215,1760002192159978.0,353701480.0,13935.0
216,1760002192160151.0,353738780.0,13940.0
217,1760002192160324.0,353776072.0,13935.0
218,1760002192160499.0,353813368.0,13941.0
219,1760002192160672.0,353850664.0,13935.0
220,1760002192160846.0,353887964.0,13934.0
