,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds),pulsetime/2 in seconds,Distance Estimate in cm,Actual In cm
860,1.76E+15,24547420,631,0.0003155,11.4737885,10
861,1.76E+15,24571104,552,0.000276,10.037292,10
862,1.76E+15,24594872,631,0.0003155,11.4737885,10
863,1.76E+15,24618560,552,0.000276,10.037292,10
864,1.76E+15,24642328,637,0.0003185,11.5828895,10
865,1.76E+15,24666012,557,0.0002785,10.1282095,10
866,1.76E+15,24689708,558,0.000279,10.146393,10
867,1.76E+15,24713384,551,0.0002755,10.0191085,10
868,1.76E+15,24737144,631,0.0003155,11.4737885,10
869,1.76E+15,24760916,631,0.0003155,11.4737885,10
870,1.76E+15,24784680,637,0.0003185,11.5828895,10
871,1.76E+15,24808452,637,0.0003185,11.5828895,10
872,1.76E+15,24832216,630,0.000315,11.455605,10
873,1.76E+15,24855964,631,0.0003155,11.4737885,10
874,1.76E+15,24879736,631,0.0003155,11.4737885,10
875,1.76E+15,24903500,637,0.0003185,11.5828895,10
876,1.76E+15,24927276,637,0.0003185,11.5828895,10
877,1.76E+15,24951036,631,0.0003155,11.4737885,10
878,1.76E+15,24974808,631,0.0003155,11.4737885,10
879,1.76E+15,24998576,631,0.0003155,11.4737885,10
880,1.76E+15,25022344,637,0.0003185,11.5828895,10
881,1.76E+15,25046112,631,0.0003155,11.4737885,10
882,1.76E+15,25069876,631,0.0003155,11.4737885,10
883,1.76E+15,25093640,631,0.0003155,11.4737885,10
884,1.76E+15,25117404,637,0.0003185,11.5828895,10
885,1.76E+15,25141172,637,0.0003185,11.5828895,10
886,1.76E+15,25164940,631,0.0003155,11.4737885,10
887,1.76E+15,25188704,631,0.0003155,11.4737885,10
888,1.76E+15,25212476,631,0.0003155,11.4737885,10
889,1.76E+15,25236240,637,0.0003185,11.5828895,10
890,1.76E+15,25259988,617,0.0003085,11.2192195,10
891,1.76E+15,25283756,631,0.0003155,11.4737885,10
892,1.76E+15,25307516,631,0.0003155,11.4737885,10
893,1.76E+15,25331288,631,0.0003155,11.4737885,10
894,1.76E+15,25355052,637,0.0003185,11.5828895,10
895,1.76E+15,25378828,637,0.0003185,11.5828895,10
896,1.76E+15,25402592,631,0.0003155,11.4737885,10
897,1.76E+15,25426356,631,0.0003155,11.4737885,10
898,1.76E+15,25450120,631,0.0003155,11.4737885,10
899,1.76E+15,25473892,637,0.0003185,11.5828895,10
900,1.76E+15,25497664,635,0.0003175,11.5465225,10
901,1.76E+15,25521428,631,0.0003155,11.4737885,10
902,1.76E+15,25545196,631,0.0003155,11.4737885,10
903,1.76E+15,25568964,637,0.0003185,11.5828895,10
904,1.76E+15,25592732,637,0.0003185,11.5828895,10
905,1.76E+15,25616504,631,0.0003155,11.4737885,10
906,1.76E+15,25640256,631,0.0003155,11.4737885,10
907,1.76E+15,25664020,631,0.0003155,11.4737885,10
908,1.76E+15,25687788,637,0.0003185,11.5828895,10
909,1.76E+15,25711552,637,0.0003185,11.5828895,10
910,1.76E+15,25735320,631,0.0003155,11.4737885,10
911,1.76E+15,25759084,631,0.0003155,11.4737885,10
912,1.76E+15,25782828,611,0.0003055,11.1101185,10
913,1.76E+15,25806592,637,0.0003185,11.5828895,10
914,1.76E+15,25830336,617,0.0003085,11.2192195,10
915,1.76E+15,25854104,631,0.0003155,11.4737885,10
916,1.76E+15,25877848,611,0.0003055,11.1101185,10
917,1.76E+15,25901616,631,0.0003155,11.4737885,10
918,1.76E+15,25925364,617,0.0003085,11.2192195,10
919,1.76E+15,25949132,637,0.0003185,11.5828895,10
920,1.76E+15,25972900,631,0.0003155,11.4737885,10
921,1.76E+15,25996664,631,0.0003155,11.4737885,10
922,1.76E+15,26020412,611,0.0003055,11.1101185,10
923,1.76E+15,26044176,637,0.0003185,11.5828895,10
924,1.76E+15,26067944,637,0.0003185,11.5828895,10
925,1.76E+15,26091712,631,0.0003155,11.4737885,10
926,1.76E+15,26115472,631,0.0003155,11.4737885,10
927,1.76E+15,26139236,631,0.0003155,11.4737885,10
928,1.76E+15,26162984,617,0.0003085,11.2192195,10
929,1.76E+15,26186760,637,0.0003185,11.5828895,10
930,1.76E+15,26210504,611,0.0003055,11.1101185,10
931,1.76E+15,26234264,631,0.0003155,11.4737885,10
932,1.76E+15,26258032,631,0.0003155,11.4737885,10
933,1.76E+15,26281796,637,0.0003185,11.5828895,10
934,1.76E+15,26305548,617,0.0003085,11.2192195,10
935,1.76E+15,26329304,631,0.0003155,11.4737885,10
936,1.76E+15,26353068,631,0.0003155,11.4737885,10
937,1.76E+15,26376832,631,0.0003155,11.4737885,10
938,1.76E+15,26400596,637,0.0003185,11.5828895,10
939,1.76E+15,26424368,637,0.0003185,11.5828895,10
940,1.76E+15,26448120,631,0.0003155,11.4737885,10
941,1.76E+15,26471884,631,0.0003155,11.4737885,10
942,1.76E+15,26495648,631,0.0003155,11.4737885,10
943,1.76E+15,26519424,637,0.0003185,11.5828895,10
944,1.76E+15,26543192,631,0.0003155,11.4737885,10
945,1.76E+15,26566952,631,0.0003155,11.4737885,10
946,1.76E+15,26590724,632,0.000316,11.491972,10
947,1.76E+15,26614492,637,0.0003185,11.5828895,10
948,1.76E+15,26638256,637,0.0003185,11.5828895,10
949,1.76E+15,26662024,631,0.0003155,11.4737885,10
950,1.76E+15,26685780,631,0.0003155,11.4737885,10
951,1.76E+15,26709544,631,0.0003155,11.4737885,10
952,1.76E+15,26733316,637,0.0003185,11.5828895,10
953,1.76E+15,26757080,637,0.0003185,11.5828895,10
954,1.76E+15,26780848,631,0.0003155,11.4737885,10
955,1.76E+15,26804608,631,0.0003155,11.4737885,10
956,1.76E+15,26828372,631,0.0003155,11.4737885,10
957,1.76E+15,26852140,637,0.0003185,11.5828895,10
958,1.76E+15,26875916,637,0.0003185,11.5828895,10
