,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760001215933694.0,112969904.0,10312.0
1,1760001215933891.0,112997188.0,13930.0
2,1760001215934071.0,113020864.0,10341.0
3,1760001215934365.0,113044620.0,10414.0
4,1760001215934564.0,113071908.0,13930.0
5,1760001215934749.0,113095556.0,10317.0
6,1760001215934932.0,113119108.0,10218.0
7,1760001215935135.0,113146396.0,13926.0
8,1760001215935322.0,113170044.0,10317.0
9,1760001215935512.0,113197328.0,13924.0
10,1760001215935694.0,113220888.0,10218.0
11,1760001215935877.0,113244424.0,10192.0
12,1760001215936062.0,113267976.0,10217.0
13,1760001215936245.0,113291528.0,10218.0
14,1760001215936432.0,113315056.0,10192.0
15,1760001215936711.0,113338712.0,10318.0
16,1760001215937048.0,113366004.0,13934.0
17,1760001215937376.0,113389456.0,10116.0
18,1760001215937718.0,113412936.0,10142.0
19,1760001215938093.0,113436616.0,10342.0
20,1760001215938406.0,113460252.0,10293.0
21,1760001215938876.0,113483876.0,10287.0
22,1760001215939227.0,113507452.0,10240.0
23,1760001215939527.0,113531028.0,10243.0
24,1760001215939933.0,113554760.0,10394.0
25,1760001215940384.0,113582048.0,13933.0
26,1760001215940978.0,113605680.0,10293.0
27,1760001215941295.0,113629328.0,10311.0
28,1760001215941625.0,113653028.0,10368.0
29,1760001215941831.0,113676688.0,10318.0
30,1760001215942022.0,113703984.0,13933.0
31,1760001215942218.0,113727628.0,10310.0
32,1760001215942423.0,113751180.0,10216.0
33,1760001215942656.0,113778472.0,13934.0
34,1760001215942992.0,113802024.0,10217.0
35,1760001215943201.0,113825544.0,10190.0
36,1760001215943448.0,113849044.0,10165.0
37,1760001215943644.0,113872624.0,10241.0
38,1760001215943934.0,113896072.0,10116.0
39,1760001215944135.0,113919600.0,10190.0
40,1760001215944336.0,113943052.0,10116.0
41,1760001215944603.0,113966476.0,10091.0
42,1760001215944957.0,113989928.0,10117.0
43,1760001215945318.0,114013360.0,10089.0
44,1760001215945614.0,114036792.0,10097.0
45,1760001215945821.0,114060260.0,10141.0
46,1760001215946016.0,114083712.0,10116.0
47,1760001215946278.0,114107188.0,10142.0
48,1760001215946611.0,114130740.0,10217.0
49,1760001215946874.0,114154216.0,10142.0
50,1760001215947376.0,114177768.0,10216.0
51,1760001215947635.0,114201248.0,10142.0
52,1760001215947824.0,114224724.0,10140.0
53,1760001215948041.0,114248204.0,10142.0
54,1760001215948274.0,114271784.0,10243.0
55,1760001215948516.0,114299072.0,13924.0
56,1760001215948709.0,114322548.0,10142.0
57,1760001215949023.0,114349836.0,13935.0
58,1760001215949324.0,114373388.0,10216.0
59,1760001215949528.0,114396940.0,10215.0
60,1760001215949714.0,114420492.0,10216.0
61,1760001215949903.0,114444040.0,10215.0
62,1760001215950166.0,114467620.0,10243.0
63,1760001215950363.0,114491348.0,10394.0
64,1760001215950648.0,114518636.0,13927.0
65,1760001215950861.0,114542216.0,10243.0
66,1760001215951058.0,114565916.0,10367.0
67,1760001215951264.0,114593208.0,13929.0
68,1760001215951474.0,114616756.0,10216.0
69,1760001215951656.0,114640336.0,10243.0
70,1760001215951889.0,114663856.0,10190.0
71,1760001215952078.0,114687316.0,10118.0
