,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760002573174797.0,77271408.0,4801.0
1,1760002573175000.0,77289416.0,4807.0
2,1760002573175277.0,77307428.0,4801.0
3,1760002573175463.0,77325436.0,4802.0
4,1760002573175672.0,77343468.0,4828.0
5,1760002573175973.0,77361476.0,4801.0
6,1760002573176151.0,77379508.0,4834.0
7,1760002573176315.0,77397520.0,4802.0
8,1760002573176478.0,77415556.0,4828.0
9,1760002573176642.0,77433584.0,4828.0
10,1760002573176807.0,77451624.0,4827.0
11,1760002573176969.0,77469660.0,4835.0
12,1760002573177130.0,77487696.0,4828.0
13,1760002573177290.0,77505704.0,4801.0
14,1760002573177451.0,77523712.0,4802.0
15,1760002573177616.0,77541720.0,4801.0
16,1760002573177776.0,77559728.0,4808.0
17,1760002573177938.0,77577740.0,4802.0
18,1760002573178099.0,77595728.0,4776.0
19,1760002573178258.0,77613736.0,4803.0
20,1760002573178421.0,77631720.0,4777.0
21,1760002573178582.0,77649728.0,4808.0
22,1760002573178743.0,77667736.0,4803.0
23,1760002573178903.0,77685748.0,4809.0
24,1760002573179066.0,77703760.0,4802.0
25,1760002573179234.0,77721796.0,4828.0
26,1760002573179400.0,77739804.0,4806.0
27,1760002573179573.0,77757844.0,4828.0
28,1760002573179742.0,77775884.0,4834.0
29,1760002573179908.0,77793912.0,4828.0
30,1760002573180074.0,77811924.0,4802.0
31,1760002573180248.0,77829964.0,4834.0
32,1760002573180432.0,77848000.0,4828.0
33,1760002573180601.0,77866056.0,4853.0
34,1760002573180776.0,77889556.0,10266.0
35,1760002573180947.0,77907688.0,4879.0
36,1760002573181122.0,77925748.0,4854.0
37,1760002573181289.0,77943852.0,4885.0
38,1760002573181460.0,77961904.0,4854.0
39,1760002573181639.0,77979944.0,4828.0
40,1760002573181808.0,77997976.0,4834.0
41,1760002573181981.0,78016016.0,4828.0
42,1760002573182144.0,78034024.0,4802.0
43,1760002573182311.0,78052108.0,4881.0
44,1760002573182479.0,78070144.0,4829.0
45,1760002573182647.0,78088184.0,4834.0
46,1760002573182868.0,78106220.0,4828.0
47,1760002573183046.0,78124256.0,4828.0
48,1760002573183211.0,78142288.0,4834.0
49,1760002573183483.0,78160300.0,4801.0
50,1760002573183651.0,78178368.0,4860.0
51,1760002573183906.0,78196368.0,4802.0
52,1760002573184131.0,78214428.0,4853.0
53,1760002573184311.0,78232436.0,4808.0
54,1760002573184476.0,78250448.0,4801.0
55,1760002573184637.0,78268460.0,4808.0
56,1760002573184805.0,78286440.0,4775.0
57,1760002573184971.0,78304472.0,4828.0
58,1760002573185134.0,78322460.0,4781.0
59,1760002573185302.0,78340468.0,4801.0
60,1760002573185467.0,78358484.0,4807.0
61,1760002573185637.0,78376444.0,4754.0
62,1760002573185805.0,78394432.0,4776.0
63,1760002573185976.0,78412464.0,4827.0
64,1760002573186145.0,78430448.0,4776.0
65,1760002573186329.0,78448436.0,4781.0
66,1760002573186508.0,78466444.0,4801.0
67,1760002573186683.0,78484460.0,4807.0
68,1760002573186853.0,78502420.0,4754.0
69,1760002573187026.0,78520384.0,4757.0
70,1760002573187195.0,78538340.0,4754.0
71,1760002573187362.0,78556328.0,4775.0
72,1760002573187527.0,78574288.0,4753.0
73,1760002573187692.0,78592276.0,4775.0
74,1760002573187946.0,78610212.0,4734.0
75,1760002573188127.0,78628200.0,4776.0
76,1760002573188328.0,78646160.0,4760.0
77,1760002573188525.0,78664120.0,4753.0
78,1760002573188693.0,78682080.0,4759.0
79,1760002573188872.0,78700064.0,4779.0
80,1760002573189045.0,78718024.0,4753.0
81,1760002573189212.0,78736056.0,4828.0
82,1760002573189396.0,78754084.0,4827.0
83,1760002573189623.0,78772044.0,4759.0
84,1760002573189803.0,78790076.0,4827.0
85,1760002573190026.0,78808092.0,4811.0
86,1760002573190292.0,78826048.0,4753.0
87,1760002573190504.0,78844008.0,4753.0
88,1760002573190670.0,78862040.0,4827.0
89,1760002573190832.0,78880096.0,4853.0
90,1760002573191030.0,78898128.0,4833.0
91,1760002573191193.0,78916136.0,4802.0
92,1760002573191357.0,78934168.0,4827.0
93,1760002573191522.0,78952224.0,4853.0
94,1760002573191682.0,78970232.0,4802.0
95,1760002573191843.0,78988312.0,4860.0
96,1760002573192004.0,79006312.0,4802.0
97,1760002573192165.0,79024320.0,4801.0
98,1760002573192329.0,79042356.0,4828.0
99,1760002573192489.0,79060364.0,4801.0
100,1760002573192651.0,79078380.0,4807.0
101,1760002573192812.0,79096364.0,4776.0
102,1760002573192975.0,79114372.0,4802.0
103,1760002573193138.0,79132404.0,4828.0
104,1760002573193301.0,79150388.0,4775.0
105,1760002573193462.0,79168376.0,4782.0
106,1760002573193624.0,79186384.0,4801.0
107,1760002573193803.0,79204404.0,4808.0
108,1760002573194038.0,79222428.0,4828.0
109,1760002573194256.0,79240464.0,4828.0
110,1760002573194427.0,79258448.0,4782.0
111,1760002573194588.0,79276460.0,4802.0
112,1760002573194747.0,79294500.0,4833.0
113,1760002573194911.0,79312504.0,4802.0
114,1760002573195071.0,79330512.0,4802.0
115,1760002573195229.0,79348544.0,4833.0
116,1760002573195389.0,79366556.0,4801.0
117,1760002573195551.0,79384596.0,4834.0
