,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760002727039148.0,3272260.0,4697.0
1,1760002727039328.0,3300168.0,4750.0
2,1760002727039487.0,3328096.0,4770.0
3,1760002727039645.0,3355888.0,4644.0
4,1760002727039800.0,3383768.0,4722.0
5,1760002727040127.0,3411672.0,4745.0
6,1760002727040295.0,3439552.0,4724.0
7,1760002727040455.0,3467432.0,4718.0
8,1760002727040610.0,3495304.0,4718.0
9,1760002727040769.0,3523184.0,4718.0
10,1760002727040927.0,3551064.0,4724.0
11,1760002727041085.0,3578972.0,4744.0
12,1760002727041239.0,3606848.0,4719.0
13,1760002727041398.0,3634724.0,4718.0
14,1760002727041554.0,3662608.0,4725.0
15,1760002727041711.0,3690516.0,4749.0
16,1760002727041877.0,3718392.0,4718.0
17,1760002727042038.0,3746300.0,4744.0
18,1760002727042199.0,3774204.0,4750.0
19,1760002727042358.0,3802080.0,4723.0
20,1760002727042513.0,3829984.0,4743.0
21,1760002727042672.0,3857864.0,4722.0
22,1760002727042955.0,3885768.0,4743.0
23,1760002727043137.0,3913648.0,4724.0
24,1760002727043357.0,3941528.0,4718.0
25,1760002727043607.0,3969404.0,4718.0
26,1760002727043773.0,3997280.0,4718.0
27,1760002727043955.0,4025188.0,4751.0
28,1760002727044120.0,4053096.0,4744.0
29,1760002727044281.0,4080968.0,4718.0
30,1760002727044443.0,4108876.0,4744.0
31,1760002727044612.0,4136752.0,4724.0
32,1760002727044779.0,4164640.0,4725.0
33,1760002727044940.0,4192512.0,4718.0
34,1760002727045097.0,4220392.0,4718.0
35,1760002727045255.0,4248272.0,4724.0
36,1760002727045412.0,4276152.0,4724.0
37,1760002727045579.0,4304056.0,4744.0
38,1760002727045743.0,4331952.0,4744.0
39,1760002727045950.0,4359860.0,4745.0
40,1760002727046171.0,4387764.0,4749.0
41,1760002727046396.0,4415672.0,4743.0
42,1760002727046639.0,4443544.0,4718.0
43,1760002727046819.0,4471452.0,4744.0
44,1760002727047012.0,4499368.0,4750.0
45,1760002727047173.0,4527272.0,4744.0
46,1760002727047328.0,4555172.0,4744.0
47,1760002727047484.0,4583080.0,4744.0
48,1760002727047645.0,4610996.0,4750.0
49,1760002727047803.0,4638900.0,4744.0
50,1760002727047961.0,4666772.0,4718.0
51,1760002727048150.0,4694676.0,4743.0
52,1760002727048307.0,4722588.0,4750.0
53,1760002727048464.0,4750496.0,4744.0
54,1760002727048622.0,4778396.0,4744.0
55,1760002727048779.0,4806300.0,4743.0
56,1760002727048936.0,4834188.0,4728.0
57,1760002727049094.0,4862096.0,4744.0
58,1760002727049248.0,4889972.0,4722.0
59,1760002727049411.0,4917880.0,4744.0
60,1760002727049568.0,4945788.0,4750.0
61,1760002727049724.0,4973692.0,4745.0
62,1760002727049877.0,5001568.0,4723.0
63,1760002727050031.0,5029476.0,4744.0
64,1760002727050184.0,5057384.0,4749.0
65,1760002727050346.0,5085288.0,4744.0
66,1760002727050501.0,5113184.0,4744.0
67,1760002727050657.0,5141096.0,4745.0
68,1760002727050945.0,5168996.0,4750.0
69,1760002727051116.0,5196904.0,4744.0
70,1760002727051277.0,5224804.0,4744.0
71,1760002727051484.0,5252708.0,4743.0
72,1760002727051652.0,5280608.0,4750.0
73,1760002727051812.0,5308512.0,4743.0
74,1760002727051970.0,5336408.0,4744.0
75,1760002727052143.0,5364316.0,4744.0
76,1760002727052302.0,5392220.0,4750.0
77,1760002727052465.0,5420124.0,4744.0
78,1760002727052704.0,5448024.0,4744.0
79,1760002727052868.0,5475924.0,4744.0
80,1760002727053025.0,5503832.0,4750.0
81,1760002727053198.0,5531740.0,4744.0
82,1760002727053354.0,5559616.0,4722.0
83,1760002727053511.0,5587524.0,4745.0
84,1760002727053666.0,5615428.0,4751.0
85,1760002727053822.0,5643332.0,4748.0
86,1760002727053979.0,5671232.0,4744.0
87,1760002727054144.0,5699140.0,4744.0
88,1760002727054300.0,5727072.0,4775.0
89,1760002727054458.0,5754980.0,4744.0
90,1760002727054613.0,5782880.0,4745.0
91,1760002727054772.0,5810760.0,4719.0
92,1760002727054927.0,5838664.0,4751.0
93,1760002727055089.0,5866568.0,4745.0
94,1760002727055243.0,5894468.0,4744.0
95,1760002727055399.0,5922372.0,4744.0
96,1760002727055553.0,5950280.0,4751.0
97,1760002727055714.0,5978188.0,4744.0
98,1760002727055869.0,6006064.0,4722.0
99,1760002727056026.0,6033972.0,4745.0
100,1760002727056180.0,6061880.0,4750.0
101,1760002727056336.0,6089792.0,4747.0
102,1760002727056495.0,6117692.0,4745.0
103,1760002727056652.0,6145600.0,4745.0
104,1760002727056811.0,6173504.0,4751.0
105,1760002727056967.0,6201408.0,4746.0
106,1760002727057123.0,6229308.0,4745.0
107,1760002727057280.0,6257196.0,4723.0
108,1760002727057437.0,6285100.0,4751.0
109,1760002727057600.0,6313012.0,4751.0
110,1760002727057755.0,6340884.0,4719.0
111,1760002727057915.0,6368792.0,4745.0
112,1760002727058077.0,6396700.0,4750.0
113,1760002727058241.0,6424616.0,4751.0
114,1760002727058401.0,6452516.0,4744.0
115,1760002727058564.0,6480392.0,4719.0
116,1760002727058795.0,6508300.0,4751.0
117,1760002727059005.0,6536188.0,4729.0
118,1760002727059181.0,6564092.0,4745.0
119,1760002727059342.0,6592000.0,4745.0
120,1760002727059499.0,6619904.0,4751.0
121,1760002727059661.0,6647820.0,4751.0
122,1760002727059820.0,6675720.0,4744.0
123,1760002727060018.0,6703620.0,4744.0
124,1760002727060201.0,6731524.0,4751.0
125,1760002727060399.0,6759440.0,4751.0
126,1760002727060557.0,6787340.0,4745.0
127,1760002727060716.0,6815244.0,4744.0
128,1760002727060878.0,6843152.0,4750.0
129,1760002727061052.0,6871064.0,4750.0
130,1760002727061209.0,6898964.0,4744.0
131,1760002727061367.0,6926868.0,4748.0
132,1760002727061524.0,6954756.0,4729.0
133,1760002727061687.0,6982640.0,4729.0
134,1760002727061851.0,7010548.0,4744.0
135,1760002727062014.0,7038428.0,4722.0
136,1760002727062171.0,7066316.0,4723.0
137,1760002727062329.0,7094196.0,4729.0
138,1760002727062486.0,7122080.0,4723.0
139,1760002727062644.0,7149960.0,4721.0
140,1760002727062800.0,7177844.0,4721.0
141,1760002727062960.0,7205756.0,4754.0
142,1760002727063120.0,7233636.0,4722.0
143,1760002727063288.0,7261512.0,4722.0
144,1760002727063453.0,7289420.0,4744.0
145,1760002727063666.0,7317328.0,4751.0
146,1760002727063832.0,7345236.0,4745.0
147,1760002727063994.0,7373136.0,4744.0
148,1760002727064165.0,7401044.0,4745.0
149,1760002727064329.0,7428952.0,4751.0
150,1760002727064492.0,7456860.0,4745.0
151,1760002727064657.0,7484736.0,4723.0
152,1760002727064813.0,7512620.0,4722.0
153,1760002727065292.0,7540528.0,4751.0
154,1760002727065463.0,7568440.0,4750.0
155,1760002727065623.0,7596320.0,4723.0
156,1760002727065779.0,7624224.0,4744.0
157,1760002727065935.0,7652108.0,4728.0
158,1760002727066088.0,7679992.0,4729.0
159,1760002727066245.0,7707880.0,4721.0
160,1760002727066400.0,7735760.0,4722.0
161,1760002727066555.0,7763644.0,4721.0
162,1760002727066709.0,7791524.0,4728.0
163,1760002727066870.0,7819408.0,4723.0
164,1760002727067027.0,7847284.0,4721.0
165,1760002727067188.0,7875196.0,4747.0
166,1760002727067345.0,7903104.0,4755.0
167,1760002727067506.0,7930988.0,4722.0
168,1760002727067668.0,7958888.0,4744.0
169,1760002727067910.0,7986800.0,4748.0
170,1760002727068122.0,8014684.0,4727.0
171,1760002727068314.0,8042584.0,4744.0
172,1760002727068474.0,8070484.0,4744.0
173,1760002727068640.0,8098368.0,4723.0
174,1760002727068803.0,8126276.0,4750.0
175,1760002727068961.0,8154164.0,4728.0
176,1760002727080797.0,8182064.0,4748.0
177,1760002727105692.0,8209948.0,4722.0
178,1760002727134287.0,8237828.0,4728.0
179,1760002727162985.0,8265712.0,4729.0
180,1760002727191608.0,8293596.0,4722.0
181,1760002727220124.0,8321480.0,4722.0
182,1760002727244879.0,8349360.0,4721.0
183,1760002727273487.0,8377244.0,4728.0
184,1760002727302212.0,8405152.0,4748.0
185,1760002727330803.0,8433048.0,4744.0
186,1760002727359376.0,8460936.0,4723.0
187,1760002727387937.0,8488816.0,4728.0
188,1760002727412836.0,8516700.0,4722.0
189,1760002727441503.0,8544576.0,4722.0
190,1760002727470351.0,8572488.0,4748.0
191,1760002727498907.0,8600372.0,4728.0
192,1760002727527307.0,8628264.0,4728.0
193,1760002727551997.0,8656164.0,4745.0
194,1760002727580682.0,8684068.0,4744.0
195,1760002727609465.0,8711972.0,4750.0
196,1760002727637942.0,8739888.0,4755.0
197,1760002727666619.0,8767764.0,4722.0
198,1760002727695168.0,8795668.0,4744.0
199,1760002727720014.0,8823576.0,4750.0
200,1760002727748598.0,8851484.0,4750.0
201,1760002727777326.0,8879408.0,4770.0
202,1760002727806073.0,8907292.0,4722.0
203,1760002727834662.0,8935204.0,4754.0
204,1760002727859142.0,8963092.0,4727.0
205,1760002727887891.0,8990968.0,4722.0
206,1760002727916526.0,9018852.0,4723.0
207,1760002727945427.0,9046764.0,4755.0
208,1760002727973992.0,9074648.0,4728.0
209,1760002728002362.0,9102560.0,4749.0
210,1760002728027165.0,9130472.0,4749.0
211,1760002728055813.0,9158352.0,4727.0
212,1760002728084481.0,9186240.0,4729.0
213,1760002728113175.0,9214152.0,4749.0
214,1760002728141834.0,9242032.0,4723.0
215,1760002728166353.0,9269912.0,4723.0
216,1760002728195043.0,9297832.0,4755.0
217,1760002728223744.0,9325764.0,4770.0
218,1760002728252658.0,9353644.0,4723.0
219,1760002728281048.0,9381552.0,4749.0
220,1760002728309551.0,9409436.0,4728.0
221,1760002728334702.0,9437320.0,4722.0
222,1760002728362950.0,9465196.0,4722.0
223,1760002728391636.0,9493080.0,4723.0
224,1760002728420509.0,9520968.0,4728.0
225,1760002728449080.0,9548896.0,4770.0
226,1760002728473884.0,9576720.0,4671.0
227,1760002728502213.0,9604608.0,4722.0
228,1760002728530885.0,9632492.0,4729.0
229,1760002728559997.0,9660372.0,4728.0
230,1760002728588174.0,9688256.0,4723.0
231,1760002728616877.0,9716156.0,4744.0
232,1760002728641484.0,9744068.0,4749.0
233,1760002728670215.0,9771948.0,4727.0
234,1760002728698810.0,9799832.0,4722.0
235,1760002728727589.0,9827712.0,4723.0
236,1760002728756216.0,9855628.0,4749.0
237,1760002728780962.0,9883516.0,4729.0
238,1760002728809414.0,9911400.0,4723.0
239,1760002728838084.0,9939276.0,4723.0
240,1760002728866994.0,9967184.0,4745.0
241,1760002728895520.0,9995116.0,4777.0
242,1760002728923969.0,10022980.0,4698.0
243,1760002728948933.0,10050796.0,4617.0
244,1760002728977348.0,10078432.0,4429.0
245,1760002729006198.0,10105936.0,4298.0
246,1760002729034614.0,10133292.0,4163.0
247,1760002729059262.0,10160532.0,4044.0
248,1760002729087828.0,10187564.0,3830.0
249,1760002729112617.0,10214580.0,3813.0
250,1760002729141236.0,10241476.0,3698.0
251,1760002729169688.0,10268340.0,3671.0
252,1760002729194570.0,10295168.0,3638.0
253,1760002729223155.0,10321948.0,3580.0
254,1760002729247651.0,10348732.0,3592.0
255,1760002729276128.0,10375572.0,3641.0
256,1760002729300874.0,10402432.0,3658.0
257,1760002729329739.0,10429368.0,3737.0
258,1760002729354172.0,10456312.0,3747.0
259,1760002729383211.0,10483348.0,3839.0
260,1760002729411419.0,10510516.0,3970.0
261,1760002729436127.0,10537648.0,3929.0
262,1760002729464810.0,10564792.0,3946.0
263,1760002729489409.0,10590640.0,2658.0
264,1760002729513963.0,10615108.0,1279.0
265,1760002729538523.0,10639464.0,1167.0
266,1760002729563118.0,10663736.0,1098.0
267,1760002729587707.0,10687976.0,1061.0
268,1760002729612269.0,10712128.0,973.0
269,1760002729636976.0,10736220.0,968.0
270,1760002729661306.0,10760288.0,930.0
271,1760002729685971.0,10784320.0,911.0
272,1760002729706392.0,10808268.0,817.0
273,1760002729731105.0,10832116.0,711.0
274,1760002729755533.0,10855864.0,612.0
275,1760002729780139.0,10879572.0,572.0
276,1760002729804762.0,10903224.0,517.0
277,1760002729825272.0,10926776.0,421.0
278,1760002729849889.0,10950308.0,402.0
279,1760002729874597.0,10973788.0,345.0
280,1760002729899000.0,10997264.0,345.0
281,1760002729919390.0,11020664.0,269.0
282,1760002729943952.0,11044100.0,301.0
283,1760002729968577.0,11067520.0,282.0
284,1760002729993153.0,11090880.0,250.0
285,1760002730013647.0,11114252.0,250.0
286,1760002730038165.0,11137632.0,250.0
287,1760002730062684.0,11161004.0,250.0
288,1760002730083223.0,11184380.0,244.0
289,1760002730107950.0,11207756.0,244.0
290,1760002730132545.0,11231116.0,250.0
291,1760002730156688.0,11254492.0,250.0
292,1760002730177417.0,11277864.0,250.0
293,1760002730202015.0,11301236.0,250.0
294,1760002730226600.0,11324612.0,244.0
295,1760002730247015.0,11347980.0,250.0
296,1760002730271556.0,11371348.0,250.0
297,1760002730296322.0,11394720.0,250.0
298,1760002730320739.0,11418100.0,250.0
299,1760002730341257.0,11441476.0,250.0
300,1760002730366007.0,11464848.0,244.0
301,1760002730390267.0,11488208.0,250.0
302,1760002730410871.0,11511620.0,288.0
303,1760002730435629.0,11535056.0,307.0
304,1760002730460150.0,11558552.0,364.0
305,1760002730484575.0,11582068.0,383.0
306,1760002730505044.0,11605640.0,440.0
307,1760002730529621.0,11629328.0,557.0
308,1760002730554256.0,11653096.0,637.0
309,1760002730578917.0,11676904.0,671.0
310,1760002730603228.0,11700872.0,831.0
311,1760002730627741.0,11724900.0,891.0
312,1760002730648552.0,11749024.0,1005.0
313,1760002730673160.0,11773356.0,1155.0
314,1760002730697651.0,11797876.0,1332.0
315,1760002730722243.0,11822580.0,1519.0
316,1760002730750568.0,11847452.0,1694.0
317,1760002730775523.0,11872476.0,1841.0
318,1760002730799978.0,11897748.0,2084.0
319,1760002730824605.0,11923144.0,2205.0
320,1760002730849186.0,11948764.0,2434.0
321,1760002730877818.0,11974676.0,2723.0
322,1760002730902664.0,12000772.0,2909.0
323,1760002730926898.0,12027052.0,3089.0
324,1760002730955883.0,12053528.0,3275.0
325,1760002730980217.0,12080216.0,3493.0
326,1760002731008990.0,12107152.0,3740.0
327,1760002731037559.0,12134284.0,3929.0
328,1760002731062083.0,12161616.0,4130.0
329,1760002731090952.0,12189140.0,4326.0
330,1760002731119431.0,12216844.0,4509.0
331,1760002731148198.0,12244724.0,4676.0
332,1760002731172731.0,12272656.0,4727.0
333,1760002731201383.0,12300572.0,4718.0
334,1760002731230040.0,12328500.0,4718.0
335,1760002731258717.0,12356396.0,4701.0
336,1760002731287175.0,12384320.0,4717.0
337,1760002731316024.0,12412264.0,4744.0
338,1760002731340821.0,12440212.0,4743.0
339,1760002731369309.0,12468160.0,4749.0
340,1760002731397943.0,12496088.0,4722.0
341,1760002731426714.0,12524040.0,4744.0
342,1760002731455415.0,12551992.0,4750.0
343,1760002731483948.0,12579916.0,4718.0
344,1760002731508547.0,12607864.0,4744.0
345,1760002731537384.0,12635816.0,4744.0
346,1760002731565879.0,12663768.0,4751.0
347,1760002731594548.0,12691720.0,4744.0
348,1760002731623308.0,12719672.0,4744.0
349,1760002731651893.0,12747624.0,4750.0
350,1760002731676435.0,12775576.0,4744.0
351,1760002731705300.0,12803516.0,4743.0
352,1760002731733837.0,12831468.0,4750.0
353,1760002731762483.0,12859420.0,4750.0
354,1760002731791251.0,12887336.0,4718.0
355,1760002731819790.0,12915264.0,4718.0
356,1760002731844411.0,12943212.0,4750.0
357,1760002731873387.0,12971136.0,4717.0
358,1760002731901748.0,12999052.0,4718.0
359,1760002731930806.0,13026976.0,4717.0
360,1760002731959152.0,13054900.0,4723.0
361,1760002731983647.0,13082824.0,4718.0
362,1760002732012351.0,13110772.0,4744.0
363,1760002732041216.0,13138724.0,4750.0
364,1760002732070195.0,13166648.0,4724.0
365,1760002732098465.0,13194588.0,4743.0
366,1760002732126938.0,13222540.0,4743.0
367,1760002732151630.0,13250484.0,4749.0
368,1760002732180268.0,13278408.0,4718.0
369,1760002732208935.0,13306332.0,4717.0
370,1760002732237612.0,13334256.0,4723.0
371,1760002732266072.0,13362188.0,4724.0
372,1760002732294931.0,13390104.0,4718.0
373,1760002732319879.0,13417820.0,4508.0
374,1760002732348214.0,13445232.0,4209.0
375,1760002732376734.0,13472320.0,3897.0
376,1760002732401384.0,13499068.0,3557.0
377,1760002732430148.0,13525456.0,3199.0
