,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,152562320.0,152562320.0,10158.0
1,152595832.0,152595832.0,10175.0
2,152629340.0,152629340.0,10172.0
3,152662696.0,152662696.0,10019.0
4,152695892.0,152695892.0,9861.0
5,152728884.0,152728884.0,9703.0
6,152761620.0,152761620.0,9442.0
7,152794048.0,152794048.0,9139.0
8,152826176.0,152826176.0,8840.0
9,152857904.0,152857904.0,8446.0
10,152889236.0,152889236.0,8049.0
11,152920132.0,152920132.0,7619.0
12,152950564.0,152950564.0,7164.0
13,152980528.0,152980528.0,6688.0
14,153010000.0,153010000.0,6211.0
15,153038940.0,153038940.0,5671.0
16,153067376.0,153067376.0,5178.0
17,153095256.0,153095256.0,4617.0
18,153122612.0,153122612.0,4110.0
19,153149436.0,153149436.0,3574.0
20,153175748.0,153175748.0,3058.0
21,153201492.0,153201492.0,2500.0
22,153226700.0,153226700.0,1962.0
23,153251380.0,153251380.0,1440.0
24,153275592.0,153275592.0,968.0
25,153299208.0,153299208.0,434.0
