,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,62568060.0,62568060.0,6973.0
1,62588216.0,62588216.0,6937.0
2,62608352.0,62608352.0,6923.0
3,62626276.0,62626276.0,4718.0
4,62646364.0,62646364.0,6864.0
5,62666388.0,62666388.0,6810.0
6,62686388.0,62686388.0,6780.0
7,62706212.0,62706212.0,6606.0
8,62725900.0,62725900.0,6475.0
9,62745432.0,62745432.0,6320.0
10,62763536.0,62763536.0,4894.0
11,62782728.0,62782728.0,5979.0
12,62801720.0,62801720.0,5786.0
13,62820504.0,62820504.0,5571.0
14,62839064.0,62839064.0,5350.0
15,62857348.0,62857348.0,5074.0
16,62875388.0,62875388.0,4838.0
17,62893208.0,62893208.0,4612.0
18,62910740.0,62910740.0,4335.0
19,62928028.0,62928028.0,4084.0
20,62945016.0,62945016.0,3797.0
21,62961728.0,62961728.0,3512.0
22,62978180.0,62978180.0,3261.0
23,62994368.0,62994368.0,2998.0
24,63010316.0,63010316.0,2752.0
25,63026040.0,63026040.0,2534.0
26,63041448.0,63041448.0,2219.0
27,63056556.0,63056556.0,1916.0
28,63071384.0,63071384.0,1637.0
29,63085864.0,63085864.0,1298.0
30,63100120.0,63100120.0,1080.0
31,63114076.0,63114076.0,777.0
32,63127764.0,63127764.0,552.0
33,63141180.0,63141180.0,282.0
